Wavelength nm,Sample 1,Sample 2,Sample3,Sample 4
483,4.711,4.64,4.938,6.373
483.5,4.982,4.897,5.224,6.816
484,5.666,5.636,5.945,7.679
484.5,6.472,6.491,6.77,8.613
485,7.189,7.258,7.537,9.414
485.5,7.593,7.691,7.977,9.86
486,7.558,7.692,8.036,9.865
486.5,7.35,7.448,7.862,9.642
487,7.299,7.404,7.896,9.67
487.5,7.554,7.713,8.283,10.044
488,8.068,8.304,8.917,10.716
488.5,8.725,8.986,9.634,11.503
489,9.081,9.335,10.005,11.888
489.5,8.904,9.153,9.839,11.632
490,8.404,8.623,9.255,10.946
490.5,7.927,8.048,8.605,10.266
491,7.597,7.61,8.111,9.76
491.5,7.47,7.438,7.855,9.611
492,7.713,7.686,8.035,9.914
492.5,8.149,8.183,8.525,10.499
493,8.55,8.706,9.054,11.083
493.5,8.691,8.869,9.324,11.332
494,8.499,8.724,9.272,11.183
494.5,8.219,8.455,9.076,10.81
495,7.975,8.224,8.815,10.431
495.5,7.83,8.03,8.601,10.118
496,7.626,7.753,8.322,9.782
496.5,7.246,7.353,7.924,9.423
497,6.957,6.998,7.597,9.15
497.5,6.79,6.753,7.34,8.986
498,6.724,6.651,7.248,8.973
498.5,6.664,6.538,7.129,8.954
499,6.581,6.489,7.032,8.886
499.5,6.653,6.586,7.117,8.985
500,6.839,6.839,7.305,9.135
500.5,7.054,7.097,7.505,9.263
501,7.072,7.101,7.471,9.224
501.5,6.959,7.033,7.416,9.109
502,6.777,6.827,7.299,8.86
502.5,6.541,6.531,7.009,8.493
503,6.295,6.267,6.765,8.222
503.5,6.018,5.968,6.549,8.051
504,5.745,5.672,6.284,7.826
504.5,5.551,5.523,6.135,7.69
505,5.553,5.472,6.082,7.581
505.5,5.585,5.51,6.123,7.595
506,5.61,5.481,6.097,7.633
506.5,5.66,5.6,6.179,7.618
507,5.576,5.622,6.149,7.508
507.5,5.56,5.587,6.037,7.406
508,5.472,5.506,5.858,7.211
508.5,5.327,5.31,5.687,7.066
509,5.128,5.068,5.388,6.843
509.5,4.916,4.877,5.15,6.632
510,4.715,4.615,4.949,6.544
510.5,4.596,4.55,4.946,6.638
511,4.621,4.7,5.137,6.939
511.5,4.79,4.953,5.466,7.244
512,5.072,5.308,5.879,7.578
512.5,5.531,5.665,6.39,7.996
513,5.871,5.981,6.765,8.217
513.5,6.157,6.208,7.064,8.443
514,6.455,6.399,7.251,8.581
514.5,6.525,6.327,7.145,8.408
515,6.217,5.954,6.732,7.96
515.5,5.629,5.453,6.079,7.37
516,5.025,4.881,5.36,6.767
516.5,4.607,4.427,4.802,6.293
517,4.388,4.195,4.487,6.042
517.5,4.406,4.23,4.512,6.078
518,4.545,4.392,4.672,6.326
518.5,4.897,4.771,5.1,6.841
519,5.481,5.354,5.657,7.478
519.5,5.981,5.863,6.22,7.996
520,6.219,6.12,6.525,8.174
520.5,6.172,6.183,6.639,8.157
521,6.138,6.115,6.646,8.02
521.5,6.14,6.202,6.72,7.889
522,6.105,6.222,6.706,7.701
522.5,5.885,5.995,6.433,7.42
523,5.432,5.495,5.952,7.002
523.5,4.813,4.801,5.289,6.442
524,4.337,4.306,4.702,5.992
524.5,3.972,3.892,4.308,5.769
525,3.685,3.581,3.983,5.587
525.5,3.322,3.215,3.707,5.361
526,2.861,2.673,3.288,4.895
526.5,2.257,2.07,2.701,4.181
527,1.828,1.646,2.229,3.588
527.5,1.734,1.539,2.01,3.347
528,1.969,1.803,2.164,3.422
528.5,2.508,2.321,2.65,3.837
529,3.287,3.155,3.357,4.596
529.5,4.216,4.083,4.225,5.562
530,5.036,4.962,4.991,6.464
530.5,5.489,5.361,5.411,7.005
531,5.482,5.307,5.329,7.019
531.5,5.347,5.157,5.181,6.918
532,5.44,5.294,5.323,7.047
532.5,5.835,5.718,5.747,7.402
533,6.265,6.167,6.292,7.82
533.5,6.495,6.463,6.784,8.129
534,6.506,6.521,6.967,8.139
534.5,6.34,6.312,6.88,7.887
535,6,5.953,6.633,7.565
535.5,5.644,5.536,6.295,7.239
536,5.37,5.286,5.984,7.011
536.5,5.374,5.29,5.936,7.163
537,5.591,5.543,6.122,7.494
537.5,5.758,5.694,6.243,7.744
538,5.676,5.61,6.274,7.718
538.5,5.19,5.165,5.972,7.267
539,4.434,4.427,5.259,6.438
539.5,3.7,3.619,4.525,5.612
540,3.157,3.069,4.052,5.057
540.5,2.97,2.831,3.808,4.801
541,3.009,2.903,3.828,4.817
541.5,3.305,3.232,4.078,5.1
542,3.747,3.75,4.48,5.521
542.5,4.174,4.223,4.828,5.868
543,4.487,4.514,5.136,6.085
543.5,4.541,4.683,5.228,6.167
544,4.567,4.746,5.244,6.256
544.5,4.682,4.821,5.316,6.428
545,4.76,4.893,5.4,6.708
545.5,4.868,4.916,5.529,6.994
546,4.852,4.929,5.648,7.206
546.5,4.78,4.867,5.683,7.266
547,4.619,4.691,5.425,7.016
547.5,4.5,4.486,5.08,6.644
548,4.313,4.173,4.693,6.157
548.5,4.085,3.973,4.373,5.767
549,3.999,3.907,4.198,5.577
549.5,3.954,3.903,4.142,5.466
550,3.914,3.845,4.163,5.502
550.5,3.818,3.75,4.211,5.616
551,3.728,3.714,4.288,5.701
551.5,3.657,3.691,4.278,5.727
552,3.655,3.625,4.193,5.628
552.5,3.672,3.616,4.163,5.573
553,3.698,3.594,4.109,5.459
553.5,3.659,3.581,4.01,5.386
