Wavelength nm,Sample 1,Sample 2,Sample3,Sample 4
745,-0.921,-0.82,-0.319,0.112
745.5,-1.058,-1.131,-0.466,0.202
746,-1.439,-1.535,-0.933,0.07
746.5,-1.641,-1.811,-1.206,0.014
747,-1.755,-1.88,-1.372,-0.057
747.5,-1.886,-1.923,-1.472,-0.23
748,-2.045,-1.932,-1.583,-0.3
748.5,-2.111,-2.095,-1.641,-0.442
749,-2.013,-2.141,-1.597,-0.456
749.5,-1.929,-2.088,-1.46,-0.398
750,-1.802,-2.004,-1.406,-0.549
750.5,-1.585,-1.905,-1.307,-0.646
751,-1.365,-1.694,-1.199,-0.706
751.5,-1.072,-1.507,-1.129,-0.784
752,-0.943,-1.333,-1.09,-0.915
752.5,-1.017,-1.348,-1.287,-1.188
753,-1.122,-1.454,-1.506,-1.477
753.5,-1.134,-1.565,-1.716,-1.73
754,-1.132,-1.757,-1.943,-1.918
754.5,-1.34,-1.936,-2.107,-1.986
755,-1.727,-2.201,-2.426,-2.348
755.5,-2.221,-2.679,-2.794,-2.753
756,-2.782,-3.202,-3.139,-3.059
756.5,-3.053,-3.623,-3.295,-3.176
757,-3.331,-3.897,-3.416,-3.069
757.5,-3.514,-4.035,-3.459,-2.901
758,-3.419,-3.908,-3.254,-2.676
758.5,-2.911,-3.375,-2.85,-2.221
759,-2.227,-2.737,-2.184,-1.556
759.5,-1.739,-2.067,-1.597,-0.926
760,-1.287,-1.393,-1.064,-0.427
760.5,-0.94,-1.009,-0.67,-0.188
761,-0.674,-0.74,-0.412,-0.139
761.5,-0.849,-1.016,-0.591,-0.514
762,-1.796,-2.067,-1.606,-1.55
762.5,-3.105,-3.453,-2.868,-2.906
763,-3.85,-4.284,-3.607,-3.681
763.5,-3.743,-4.139,-3.502,-3.688
764,-2.94,-3.418,-2.73,-2.863
764.5,-1.784,-2.146,-1.636,-1.617
765,-0.302,-0.573,-0.202,-0.058
765.5,1.188,0.951,1.16,1.438
766,2.452,2.317,2.271,2.72
766.5,2.636,2.59,2.428,2.994
767,1.971,1.892,1.616,2.322
767.5,0.706,0.764,0.466,1.274
768,-0.168,-0.055,-0.236,0.694
768.5,-0.53,-0.227,-0.317,0.331
769,-0.59,-0.276,-0.293,0.293
769.5,-0.718,-0.397,-0.246,0.287
770,-0.743,-0.469,-0.196,0.407
770.5,-0.788,-0.612,-0.243,0.434
771,-0.954,-0.912,-0.587,0.327
771.5,-1.341,-1.398,-0.981,-0.128
772,-1.92,-2.113,-1.651,-0.795
772.5,-2.444,-2.643,-2.126,-1.438
773,-2.635,-2.846,-2.387,-1.784
773.5,-2.625,-2.878,-2.487,-2.238
774,-2.711,-2.967,-2.463,-2.556
774.5,-2.717,-3.002,-2.545,-2.853
775,-2.557,-2.864,-2.671,-2.967
775.5,-2.435,-2.717,-2.818,-3.142
776,-2.399,-2.809,-3.052,-3.114
776.5,-2.323,-2.839,-3.039,-2.818
777,-1.941,-2.547,-2.889,-2.135
777.5,-1.616,-2.248,-2.704,-1.622
778,-1.486,-2.167,-2.734,-1.327
778.5,-1.358,-2.203,-2.696,-1.295
779,-1.296,-2.066,-2.408,-1.338
779.5,-1.154,-1.837,-2.241,-1.529
780,-1.19,-1.877,-2.174,-1.829
780.5,-1.325,-1.864,-2.158,-2.135
781,-1.407,-1.966,-2.101,-2.233
781.5,-1.208,-1.889,-1.888,-1.888
782,-0.652,-1.198,-1.391,-1.084
782.5,-0.569,-0.916,-1.241,-0.666
783,-0.615,-0.852,-1.256,-0.301
783.5,-0.646,-0.828,-1.172,0.038
784,-0.677,-0.612,-0.865,0.442
784.5,-0.793,-0.589,-0.685,0.584
785,-0.975,-0.792,-0.69,0.593
785.5,-1.344,-0.92,-0.818,0.399
786,-1.609,-1.337,-1.119,-0.106
786.5,-2.001,-1.984,-1.694,-0.896
787,-2.643,-2.605,-2.495,-1.797
787.5,-3.368,-3.394,-3.516,-2.897
788,-4.057,-4.127,-4.359,-3.774
788.5,-4.486,-4.834,-4.789,-4.172
789,-4.65,-4.918,-4.956,-4.193
789.5,-4.564,-4.865,-4.934,-4.212
790,-3.985,-4.447,-4.574,-3.674
790.5,-3.442,-3.813,-4.114,-3.096
791,-2.793,-3.461,-3.846,-2.814
791.5,-2.443,-3.275,-3.826,-2.79
792,-2.559,-3.324,-4.099,-2.989
792.5,-2.589,-3.284,-4.191,-3.154
793,-2.78,-3.504,-4.158,-3.391
793.5,-3.064,-3.926,-4.305,-3.48
794,-3.531,-4.258,-4.572,-3.744
794.5,-4.106,-4.857,-5.046,-4.267
795,-4.292,-5.133,-5.22,-4.402
795.5,-4.493,-5.286,-5.418,-4.374
796,-4.398,-5.149,-5.446,-4.361
796.5,-3.912,-4.76,-5.017,-4.108
797,-3.408,-4.143,-4.449,-3.778
797.5,-2.435,-3.243,-3.403,-2.998
798,-1.412,-2.45,-2.247,-2.198
798.5,-0.576,-1.618,-1.202,-1.477
799,-0.14,-1.171,-0.587,-1.125
799.5,-0.071,-1.063,-0.49,-1.127
800,-0.327,-1.216,-0.613,-1.288
800.5,-1.003,-1.77,-1.233,-1.646
801,-1.817,-2.278,-1.847,-2.253
801.5,-2.314,-2.705,-2.282,-2.763
802,-2.787,-3.051,-2.565,-2.845
802.5,-2.873,-3.301,-2.624,-2.862
803,-2.719,-3.424,-2.475,-2.658
803.5,-2.802,-3.53,-2.458,-2.8
804,-3.128,-3.903,-2.83,-3.222
804.5,-3.734,-4.325,-3.435,-3.737
805,-4.176,-4.745,-4.03,-4.279
805.5,-4.623,-5.11,-4.486,-4.669
806,-4.952,-5.266,-4.669,-4.628
806.5,-5.081,-5.056,-4.509,-4.222
807,-5.111,-4.877,-4.301,-3.627
807.5,-4.95,-4.589,-4.099,-3.27
808,-4.734,-4.351,-3.716,-2.774
808.5,-4.806,-4.274,-3.666,-2.804
809,-4.861,-4.288,-3.693,-2.85
809.5,-5.023,-4.406,-3.957,-3.313
810,-4.881,-4.544,-4.178,-3.893
810.5,-4.932,-4.655,-4.292,-4.241
811,-4.9,-4.829,-4.244,-4.327
811.5,-4.788,-4.759,-4.103,-4.31
812,-4.837,-4.879,-4.296,-4.517
812.5,-5.104,-5.322,-4.696,-4.643
813,-5.174,-5.551,-4.804,-4.715
813.5,-5.181,-5.74,-4.979,-4.963
814,-5.049,-5.575,-4.95,-5.026
814.5,-5.008,-5.545,-5.091,-5.476
815,-4.939,-5.396,-5.195,-5.634
815.5,-4.828,-5.205,-5.213,-5.438
816,-4.652,-4.937,-4.949,-5.243
816.5,-4.384,-4.532,-4.638,-4.934
817,-4.378,-4.444,-4.673,-4.773
817.5,-4.701,-4.889,-4.944,-4.757
818,-4.93,-5.268,-5.358,-5.083
818.5,-5.408,-5.719,-5.833,-5.605
819,-5.363,-5.499,-5.722,-5.548
819.5,-5.419,-5.592,-5.777,-5.644
820,-7.783,-7.984,-8.214,-7.934
820.5,-11.255,-11.631,-11.806,-11.468
821,-14.448,-14.8,-14.905,-14.72
821.5,-15.416,-15.784,-15.743,-15.579
822,-14.493,-14.884,-14.635,-14.433
822.5,-12.454,-12.857,-12.308,-12.038
823,-9.216,-9.676,-8.97,-8.45
823.5,-5.173,-5.443,-4.616,-3.822
824,-0.259,-0.436,0.381,1.478
824.5,3.082,3.029,3.779,4.975
825,2.283,2.229,2.928,4.088
825.5,-0.377,-0.5,0.151,1.113
826,-2.546,-2.727,-2.108,-1.379
826.5,-2.856,-3.023,-2.406,-1.847
827,-2.455,-2.545,-1.955,-1.574
827.5,-1.976,-1.956,-1.363,-1.02
828,-1.23,-1.161,-0.421,0.032
828.5,-0.43,-0.246,0.546,1.185
829,0.37,0.645,1.452,2.28
829.5,0.58,0.88,1.739,2.559
830,-0.315,-0.116,0.763,1.554
830.5,-1.634,-1.45,-0.592,0.159
831,-2.792,-2.747,-1.839,-1.311
831.5,-4.09,-4.247,-3.479,-3.2
832,-5.739,-6.15,-5.756,-5.849
832.5,-6.808,-7.534,-7.488,-7.82
833,-7.13,-8.081,-8.115,-8.471
833.5,-6.807,-7.949,-8.051,-8.329
834,-6.049,-7.156,-7.197,-7.457
834.5,-4.489,-5.596,-5.42,-5.831
835,-2.747,-3.646,-3.468,-3.775
835.5,-1.064,-1.685,-1.282,-1.566
836,-0.104,-0.502,0.084,-0.307
836.5,0.143,-0.142,0.49,-0.143
837,0.127,-0.183,0.317,-0.26
837.5,0.12,-0.194,0.049,-0.382
838,-0.596,-0.851,-0.873,-0.868
838.5,-1.448,-1.631,-1.885,-1.578
839,-2.314,-2.507,-2.697,-2.235
839.5,-2.956,-3.099,-3.215,-2.694
840,-3.364,-3.637,-3.52,-2.862
840.5,-3.45,-3.788,-3.287,-2.58
841,-3.17,-3.455,-2.847,-2.033
841.5,-2.732,-2.85,-2.137,-1.435
842,-2.318,-2.322,-1.74,-0.697
842.5,-2.153,-2.031,-1.671,-0.652
843,-2.426,-2.28,-2.298,-1.024
843.5,-2.403,-2.338,-2.561,-1.192
844,-2.074,-2.33,-2.538,-1.222
844.5,-2.035,-2.324,-2.625,-1.369
845,-1.664,-2.232,-2.547,-1.38
845.5,-1.736,-2.347,-2.576,-1.609
846,-1.741,-2.478,-2.817,-2.046
846.5,-2.093,-2.324,-2.928,-2.517
847,-2.164,-2.243,-2.856,-2.544
847.5,-1.999,-2.148,-2.617,-2.679
848,-1.915,-2.241,-2.613,-2.771
848.5,-1.955,-2.549,-2.62,-2.829
849,-2.223,-2.753,-2.748,-3.214
849.5,-3.069,-3.465,-3.683,-4.08
850,-3.626,-4.02,-4.645,-4.731
